program_started : 1564060767229515 : 8546
circBuffer.txt not found!
Starting with clean buffers
client_device_connected : 1564060788567082 : 10.0.85.35 : sd = 3
Adding to list of sockets as 0
client_device_connected : 1564060788581861 : 10.0.85.38 : sd = 4
Adding to list of sockets as 1
client_device_connected : 1564060788587174 : 10.0.85.37 : sd = 6
Adding to list of sockets as 2
server_device_connected : 1564060798184284 : 10.0.85.35 : sd = 8
Adding to list of sockets as 3
received_rejected_message : 1564061242229680 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242230376 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242251206 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242252628 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242253903 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242255310 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242256577 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242257910 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242259186 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242260460 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242262439 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242271811 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242273913 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242275943 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242277920 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242279941 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242282252 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242284453 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242290152 : 10.0.85.48 : sd=7
sent_message : 1564061284756062 : 10.0.85.35 : sd = 3
generated_message : 1564061302162871
sent_message : 1564061304103077 : 10.0.85.48 : sd = 7
sent_message : 1564061304356447 : 10.0.85.48 : sd = 7
sent_message : 1564061321524872 : 10.0.85.37 : sd = 6
sent_message : 1564061322081470 : 10.0.85.37 : sd = 6
sent_message : 1564061322462588 : 10.0.85.37 : sd = 6
sent_message : 1564061344223550 : 10.0.85.35 : sd = 8
received_accepted_message : 1564061322615044 : 10.0.85.37 : sd=6
sent_message : 1564061388825325 : 10.0.85.35 : sd = 3
received_accepted_message : 1564061367746754 : 10.0.85.35 : sd=8
sent_message : 1564061411996528 : 10.0.85.48 : sd = 7
sent_message : 1564061412335420 : 10.0.85.48 : sd = 7
sent_message : 1564061412979032 : 10.0.85.48 : sd = 7
received_rejected_message : 1564061388859860 : 10.0.85.48 : sd=7
sent_message : 1564061435186551 : 10.0.85.37 : sd = 6
received_rejected_message : 1564061413000646 : 10.0.85.48 : sd=7
received_accepted_message : 1564061446301902 : 10.0.85.48 : sd=7
received_rejected_message : 1564061454257191 : 10.0.85.48 : sd=7
received_rejected_message : 1564061462284360 : 10.0.85.35 : sd=8
received_rejected_message : 1564061462530270 : 10.0.85.35 : sd=8
sent_message : 1564061499417096 : 10.0.85.35 : sd = 3
received_rejected_message : 1564061496355080 : 10.0.85.37 : sd=6
sent_message : 1564061535429974 : 10.0.85.37 : sd = 6
received_rejected_message : 1564061499475273 : 10.0.85.37 : sd=6
generated_message : 1564061544364648
sent_message : 1564061600514274 : 10.0.85.35 : sd = 3
sent_message : 1564061618789600 : 10.0.85.48 : sd = 7
sent_message : 1564061633775597 : 10.0.85.37 : sd = 6
received_accepted_message : 1564061657255780 : 10.0.85.35 : sd=8
generated_message : 1564061673753242
sent_message : 1564061702967782 : 10.0.85.35 : sd = 3
received_accepted_message : 1564061686168223 : 10.0.85.37 : sd=6
sent_message : 1564061720604640 : 10.0.85.48 : sd = 7
sent_message : 1564061720838413 : 10.0.85.48 : sd = 7
sent_message : 1564061721067837 : 10.0.85.48 : sd = 7
received_rejected_message : 1564061702989345 : 10.0.85.35 : sd=3
received_rejected_message : 1564061721072926 : 10.0.85.48 : sd=7
received_accepted_message : 1564061721073617 : 10.0.85.48 : sd=7
sent_message : 1564061738998733 : 10.0.85.37 : sd = 6
sent_message : 1564061739427512 : 10.0.85.37 : sd = 6
sent_message : 1564061740217075 : 10.0.85.37 : sd = 6
sent_message : 1564061767224560 : 10.0.85.35 : sd = 8
sent_message : 1564061767715580 : 10.0.85.35 : sd = 8
received_rejected_message : 1564061785379846 : 10.0.85.37 : sd=6
generated_message : 1564061853778241
received_rejected_message : 1564061810084842 : 10.0.85.48 : sd=7
received_rejected_message : 1564061878144340 : 10.0.85.35 : sd=3
received_accepted_message : 1564061885002988 : 10.0.85.37 : sd=6
received_rejected_message : 1564061885268952 : 10.0.85.37 : sd=6
received_accepted_message : 1564061885828329 : 10.0.85.35 : sd=8
sent_message : 1564061917311309 : 10.0.85.35 : sd = 3
sent_message : 1564061917519639 : 10.0.85.35 : sd = 3
received_rejected_message : 1564061912903234 : 10.0.85.48 : sd=7
sent_message : 1564061933204676 : 10.0.85.48 : sd = 7
sent_message : 1564061933704961 : 10.0.85.48 : sd = 7
sent_message : 1564061934145367 : 10.0.85.48 : sd = 7
sent_message : 1564061960489254 : 10.0.85.37 : sd = 6
sent_message : 1564061961517206 : 10.0.85.37 : sd = 6
received_rejected_message : 1564061934788804 : 10.0.85.35 : sd=3
received_rejected_message : 1564061967321558 : 10.0.85.37 : sd=6
received_rejected_message : 1564062006495294 : 10.0.85.48 : sd=7
received_accepted_message : 1564062006835768 : 10.0.85.48 : sd=7
sent_message : 1564062026604951 : 10.0.85.35 : sd = 3
sent_message : 1564062080095047 : 10.0.85.37 : sd = 6
generated_message : 1564062118145808
received_accepted_message : 1564062120889744 : 10.0.85.35 : sd=8
sent_message : 1564062151842598 : 10.0.85.35 : sd = 3
sent_message : 1564062180597401 : 10.0.85.48 : sd = 7
sent_message : 1564062180818255 : 10.0.85.48 : sd = 7
received_rejected_message : 1564062158163883 : 10.0.85.37 : sd=6
received_accepted_message : 1564062180824439 : 10.0.85.37 : sd=6
sent_message : 1564062197279211 : 10.0.85.37 : sd = 6
sent_message : 1564062197530009 : 10.0.85.37 : sd = 6
sent_message : 1564062220586444 : 10.0.85.35 : sd = 8
received_rejected_message : 1564062214083800 : 10.0.85.48 : sd=7
received_rejected_message : 1564062239896042 : 10.0.85.35 : sd=8
received_accepted_message : 1564062240275117 : 10.0.85.35 : sd=8
sent_message : 1564062301676642 : 10.0.85.48 : sd = 7
sent_message : 1564062301923334 : 10.0.85.48 : sd = 7
received_rejected_message : 1564062261744902 : 10.0.85.37 : sd=6
sent_message : 1564062319208049 : 10.0.85.37 : sd = 6
received_rejected_message : 1564062313540086 : 10.0.85.48 : sd=7
received_rejected_message : 1564062319224738 : 10.0.85.48 : sd=7
received_accepted_message : 1564062361917861 : 10.0.85.37 : sd=6
received_rejected_message : 1564062362189531 : 10.0.85.37 : sd=6
sent_message : 1564062402610062 : 10.0.85.35 : sd = 3
generated_message : 1564062418160589
sent_message : 1564062429819948 : 10.0.85.48 : sd = 7
received_accepted_message : 1564062421471642 : 10.0.85.48 : sd=7
received_rejected_message : 1564062429836792 : 10.0.85.48 : sd=7
sent_message : 1564062452924470 : 10.0.85.37 : sd = 6
sent_message : 1564062453362258 : 10.0.85.37 : sd = 6
sent_message : 1564062485575606 : 10.0.85.35 : sd = 8
sent_message : 1564062486021280 : 10.0.85.35 : sd = 8
